Iteration	Posterior	Likelihood	Prior	alpha	clock	lambda	mu	pi[1]	pi[2]	pi[3]	pi[4]	r[1]	r[2]	r[3]	r[4]	rates[1]	rates[2]	rates[3]	rates[4]	rates[5]	rates[6]	tmrca
0	-27236.83	-26858.06	-378.7725	0.02034508	3.866008e-06	0.892881	0.8928686	0.331172	0.282503	0.129267	0.257057	1.43008e-30	1.78893e-15	1.21314e-06	4	0.00725267	0.480203	0.0225211	0.00747579	0.472804	0.00974412	1360.818
5	-27228.36	-26856.05	-372.3103	0.03776739	4.211968e-06	0.8919188	0.8937452	0.330046	0.281542	0.128827	0.259585	6.3856e-17	1.19361e-08	0.000823248	3.99918	0.00726795	0.478956	0.0246919	0.0077887	0.471576	0.00971883	1198.351
10	-27225.14	-26857.41	-367.7305	0.00723907	4.046932e-06	0.8923746	0.8940983	0.327463	0.284886	0.135735	0.251916	3.80738e-84	2.9223e-42	9.26694e-18	4	0.00735995	0.507651	0.0338447	0.0066791	0.435298	0.00916776	1257.028
15	-27218.98	-26852.45	-366.5391	0.01934826	4.992547e-06	0.8918946	0.8939004	0.327542	0.278802	0.128454	0.265201	4.27404e-32	3.09293e-16	5.85601e-07	4	0.00402488	0.538792	0.030517	0.00408441	0.415211	0.00737094	1008.863
20	-27219.59	-26847.6	-371.9851	0.0260009	4.606784e-06	0.8898705	0.8927388	0.32117	0.285098	0.133691	0.260042	3.90835e-24	2.95595e-12	2.62601e-05	3.99997	0.00721623	0.535751	0.0303447	0.00406136	0.415842	0.00678499	1137.957
25	-27219.33	-26849.74	-369.5909	0.07570321	4.944902e-06	0.8912613	0.8927422	0.325419	0.286862	0.131336	0.256383	6.17758e-09	0.000117028	0.0373176	3.96257	0.00707152	0.525007	0.0350332	0.0042877	0.418919	0.00968069	1031.592
30	-27216.42	-26854.84	-361.5775	0.03734505	5.094336e-06	0.8916958	0.8946623	0.324009	0.280145	0.134089	0.261757	4.21648e-17	9.6996e-09	0.000755346	3.99924	0.00709478	0.526734	0.0272119	0.00723811	0.420297	0.0114238	1002.181
35	-27214.96	-26855.83	-359.1313	0.05232969	5.458964e-06	0.892082	0.8927694	0.326804	0.285784	0.133438	0.253975	1.73887e-12	1.96726e-06	0.00684498	3.99315	0.0058128	0.547147	0.0261502	0.0028107	0.403899	0.0141806	975.6364
40	-27214.22	-26859.3	-354.9152	0.06278984	5.356559e-06	0.890592	0.8942798	0.329853	0.283066	0.130735	0.256345	1.43267e-10	1.78411e-05	0.017092	3.98289	0.00434275	0.547546	0.0205872	0.0105633	0.404194	0.0127663	878.6877
45	-27211.31	-26858.55	-352.7644	0.02402181	5.341831e-06	0.8931209	0.8963426	0.32751	0.281165	0.132576	0.258749	4.83543e-26	3.28846e-13	1.05574e-05	3.99999	0.00552124	0.53654	0.0196062	0.00850919	0.416663	0.0131602	890.8046
50	-27212.83	-26856.06	-356.7729	0.0136429	5.181183e-06	0.8928933	0.8966435	0.31994	0.285466	0.133937	0.260657	4.15308e-45	9.64611e-23	1.16846e-09	4	0.00594301	0.517479	0.0189774	0.00710426	0.434199	0.0162972	961.6893
55	-27210.52	-26857.2	-353.3211	0.0142826	5.708684e-06	0.8920515	0.8954961	0.318645	0.284897	0.133669	0.262788	3.93409e-43	9.38783e-22	3.00421e-09	4	0.00615924	0.535744	0.0241597	0.0182597	0.398805	0.0168724	918.9398
60	-27209.38	-26861.8	-347.5776	0.04066299	5.853206e-06	0.8920393	0.8954341	0.327681	0.2789	0.137235	0.256183	8.71282e-16	4.40794e-08	0.00141554	3.99858	0.00562371	0.538548	0.022875	0.00929602	0.418008	0.00564998	854.5221
65	-27216.56	-26859.84	-356.7166	0.004138187	5.447072e-06	0.8926661	0.8949531	0.331702	0.282322	0.12665	0.259326	1.82045e-146	2.02125e-73	1.08259e-30	4	0.0150602	0.534435	0.0198771	0.00922503	0.41459	0.00681248	858.6476
70	-27224.29	-26863.92	-360.3686	0.04377378	6.115589e-06	0.8940571	0.8965321	0.32546	0.291766	0.124266	0.258508	9.82041e-15	1.47947e-07	0.00233937	3.99766	0.0187887	0.534618	0.0198839	0.00544763	0.414732	0.00653041	770.7556
75	-27211.09	-26860.7	-350.3835	0.007827436	6.115589e-06	0.8932933	0.8967081	0.323671	0.29078	0.127916	0.257633	6.79348e-78	3.90333e-39	1.83737e-16	4	0.0129621	0.543428	0.0201919	0.00803562	0.404903	0.0104789	845.6571
80	-27209.97	-26862.55	-347.4208	0.05337198	6.368535e-06	0.8936623	0.8944875	0.327883	0.28155	0.129581	0.260986	2.91656e-12	2.54757e-06	0.00762008	3.99238	0.0166211	0.534363	0.0253563	0.00464329	0.410424	0.00859253	821.6646
85	-27214.7	-26865.33	-349.3683	0.03962419	5.706538e-06	0.8928733	0.8948276	0.322695	0.283723	0.130581	0.263	3.56514e-16	2.8199e-08	0.00117607	3.99882	0.0188978	0.517668	0.0210982	0.00932273	0.415069	0.0179445	930.4752
90	-27210.63	-26857.66	-352.9721	0.04233755	5.897973e-06	0.8931199	0.8949415	0.322638	0.287945	0.130582	0.258835	3.35472e-15	8.64814e-08	0.00187221	3.99813	0.00486394	0.531296	0.0216536	0.00414628	0.425996	0.0120435	873.0602
95	-27210.8	-26863.69	-347.113	0.03177712	5.828092e-06	0.8943346	0.894937	0.319509	0.29025	0.131197	0.259043	6.31796e-20	3.75642e-10	0.000196032	3.9998	0.0112293	0.539977	0.0207866	0.0127095	0.408938	0.00635967	886.9542
100	-27211.03	-26862.14	-348.8805	0.03041367	6.449284e-06	0.8949729	0.8978132	0.325461	0.277031	0.133641	0.263868	8.9394e-21	1.41316e-10	0.000130666	3.99987	0.010929	0.525533	0.0202305	0.0120645	0.41882	0.012423	823.7648
105	-27206.03	-26853.14	-352.8929	0.01788289	5.710595e-06	0.8937005	0.8959473	0.325461	0.277031	0.133641	0.263868	1.20539e-34	1.64274e-17	1.73212e-07	4	0.00978229	0.524024	0.0306562	0.00553166	0.417618	0.0123874	893.4676
110	-27216.75	-26865.42	-351.3372	0.0624641	5.724283e-06	0.8928177	0.8965095	0.318475	0.290909	0.133042	0.257575	1.27693e-10	1.6844e-05	0.0166888	3.98329	0.0102691	0.524577	0.0306886	0.00457891	0.418058	0.0118283	971.58
115	-27200.48	-26862.3	-338.1854	0.05096557	6.335391e-06	0.8940317	0.8964598	0.321741	0.29001	0.132631	0.255618	8.55902e-13	1.38035e-06	0.0059091	3.99409	0.00978622	0.526288	0.0348739	0.00305554	0.409056	0.0169396	842.8647
120	-27198.44	-26861.51	-336.9313	0.005124271	6.987027e-06	0.8950374	0.8945851	0.321695	0.289969	0.13312	0.255215	1.80757e-118	2.01391e-59	6.98696e-25	4	0.00796773	0.581229	0.0310525	0.00492844	0.364233	0.0105893	601.0468
125	-27195.42	-26861.58	-333.842	0.01462949	7.743855e-06	0.8937012	0.8945513	0.326357	0.287976	0.132206	0.253461	3.92943e-42	2.96684e-21	4.84308e-09	4	0.00606873	0.551731	0.0286481	0.00521087	0.396949	0.0113926	585.6491
130	-27193.18	-26856.22	-336.9647	0.01703038	7.066205e-06	0.8943551	0.8941132	0.317195	0.287613	0.135352	0.259839	2.48832e-36	2.36043e-18	7.74307e-08	4	0.00907223	0.548433	0.0284769	0.00903451	0.394576	0.0104079	615.1215
135	-27191.73	-26860.3	-331.4337	0.01113812	7.785125e-06	0.8932787	0.8948553	0.324295	0.287302	0.129825	0.258578	4.94807e-55	1.05313e-27	1.01944e-11	4	0.00963695	0.542785	0.0192168	0.0127985	0.405262	0.0103007	642.4401
140	-27191.72	-26856.48	-335.2439	0.01631726	6.874787e-06	0.8910692	0.8915048	0.324295	0.287302	0.129825	0.258578	7.09477e-38	3.98598e-19	3.70123e-08	4	0.010377	0.510591	0.0188688	0.00536497	0.436382	0.0184164	728.8008
145	-27197.05	-26857.18	-339.871	0.08472667	7.40509e-06	0.8912521	0.8916491	0.321311	0.284658	0.137832	0.256199	4.33681e-08	0.000309834	0.0559024	3.94379	0.00713027	0.544525	0.0205146	0.00252982	0.416087	0.00921396	712.3729
150	-27188.72	-26856.37	-332.3536	0.04915662	7.343373e-06	0.8889497	0.8927901	0.326648	0.285314	0.130274	0.257764	3.14657e-13	8.37074e-07	0.00480158	3.9952	0.01081	0.537979	0.0189062	0.00453819	0.416666	0.0111008	660.0225
155	-27192.92	-26853.39	-339.5269	0.0472807	7.911607e-06	0.8888043	0.8948492	0.328264	0.284629	0.129961	0.257145	1.02809e-13	4.78552e-07	0.00380738	3.99619	0.00991843	0.516224	0.0204633	0.00919667	0.428752	0.0154456	604.2974
160	-27193.84	-26857.2	-336.6357	0.07196957	8.722058e-06	0.8904108	0.8956765	0.328726	0.285029	0.130144	0.256101	2.39058e-09	7.28227e-05	0.0306466	3.96928	0.0124835	0.516396	0.0204701	0.00630579	0.428894	0.0154508	624.1981
165	-27185.99	-26854.33	-331.6552	0.03845011	8.556062e-06	0.8924387	0.8946191	0.329866	0.285738	0.127408	0.256989	1.22519e-16	1.65326e-08	0.000942381	3.99906	0.0096023	0.551916	0.016393	0.00110359	0.406347	0.0146385	561.6376
170	-27182.85	-26860.62	-322.2297	0.05750063	8.969953e-06	0.8906024	0.8946174	0.328744	0.286219	0.127623	0.257414	1.88161e-11	6.46853e-06	0.0112177	3.98878	0.011043	0.565087	0.0202616	0.00100632	0.390883	0.011719	516.432
175	-27173.97	-26854.44	-319.5382	0.04351821	9.279832e-06	0.8888912	0.895634	0.329864	0.287408	0.128758	0.25397	8.15407e-15	1.34815e-07	0.00225087	3.99775	0.0109478	0.560216	0.0210053	0.00286199	0.387513	0.0174565	544.1067
180	-27184.04	-26857.42	-326.6232	0.01167816	9.683699e-06	0.8889444	0.8945049	0.318968	0.295356	0.132318	0.253358	1.56346e-52	1.87191e-26	3.36553e-11	4	0.00966084	0.549373	0.0289258	0.00172486	0.396058	0.0142578	545.3413
185	-27177.14	-26851.96	-325.188	0.004696897	8.70807e-06	0.8892703	0.8966741	0.329924	0.282774	0.132876	0.254426	3.68528e-129	9.09377e-65	4.22483e-27	4	0.0101657	0.520063	0.0240756	0.00164512	0.435348	0.008702	568.6961
190	-27172.76	-26847.11	-325.6445	0.05343165	9.42499e-06	0.8922846	0.8953314	0.32948	0.283739	0.132697	0.254084	3.00238e-12	2.58477e-06	0.00766605	3.99233	0.00646388	0.549704	0.0245277	0.00159013	0.413169	0.00454592	477.4644
195	-27178.25	-26862.5	-315.7469	0.00801639	1.035843e-05	0.8912125	0.8959953	0.323774	0.278665	0.135143	0.262418	4.41647e-76	3.14716e-38	4.36932e-16	4	0.00327704	0.496232	0.026168	0.00160123	0.460506	0.0122163	465.3057
200	-27177.74	-26866.72	-311.0173	0.01045523	1.012949e-05	0.8912124	0.8964721	0.327959	0.282267	0.12687	0.262904	1.45864e-58	1.80827e-29	1.88695e-12	4	0.00576745	0.560678	0.0337582	0.00651515	0.379608	0.0136736	479.0464
